Team Number,Advisor,Problem,Ranking,Institution ID
Chongqing,Pan Zheng,A,Honorable Mention,362
Baoding,FENG SHI,D,Honorable Mention,1307
Changchun,ji Shuguan,D,Successful Participant,658
WUHAN,Xian jun Shi,B,Successful Participant,38
Beijing,Mingxi Wang,C,Honorable Mention,639
Qinhuangdao,Yushan Jiang,A,Meritorious,213
Chengdu,Yu Shen,B,Successful Participant,138
Kunming,Huaixiong Zhang,A,Honorable Mention,827
Guangzhou,Zhongyan Li,A,Successful Participant,300
Zigong,Minghui Cheng,B,Successful Participant,949
Qingdao,Sun Yuhua,D,Meritorious,32
Bengbu,Xu Jing,A,Honorable Mention,590
Hefei,Shengbo Wang,A,Successful Participant,776
Wuhan,Liu Yang,A,Honorable Mention,992
Chengdu,Yang Liu,B,Successful Participant,322
St. Louis,Brody D Johnson,A,Successful Participant,929
ZaoZhuang,ChangQing Lv,A,Honorable Mention,822
Harbin,Xiaoping Ji,B,Successful Participant,1021
Tianjin,Jinhuan Wang,C,Honorable Mention,1042
HARBIN,ZHANG XIAOWEI,A,Honorable Mention,1041
Wuhan,HENGXING LIU,D,Meritorious,36
Wuhan,Songlin Xu,B,Successful Participant,1157
Beijing,Lin Li,A,Successful Participant,628
Shanghai,Chaoxuan Mao,A,Successful Participant,1550
Xi'an,Weidong Yan,A,Honorable Mention,790
Dalian,Liu Xiangdong,A,Successful Participant,263
Wuhan,Zhuangchu Luo,D,Honorable Mention,36
Hangzhou,XiaoQing Jiang,A,Meritorious,986
Guangzhou,Guanghui Chen,A,Honorable Mention,1001
Zhuhai,WenHua Gao,B,Successful Participant,1203
Wuhan,Tao Ding,B,Successful Participant,1135
Qinhuangdao,Jianbo Liu,B,Honorable Mention,213
Qingdao,Lu Xiao,B,Successful Participant,1244
Chengdu,Liang Li,C,Meritorious,917
Tangshan,Zhang Qiuna,A,Honorable Mention,828
Nanjing,Yuchang Yuan,A,Successful Participant,851
Leshan,Feng Sun,B,Honorable Mention,1382
Nanjing,Liwei Liu,A,Meritorious,1627
Nanjing,Wenlong Fei,A,Honorable Mention,66
Hangzhou,Xusheng Kang,D,Honorable Mention,1350
Dalian,Yiwei Liu,A,Successful Participant,1291
HARBIN,ZHEN BIN GAO,D,Successful Participant,1041
Xiangtan,Guangming Zhou,A,Meritorious,1264
tianjin,jiaxing zhao,A,Successful Participant,1076
Changsha,Wei Zhang,D,Honorable Mention,1378
HARBIN,YUE SHENG LUO,B,Honorable Mention,1041
Harbin,Yu Xiao,,Successful Participant,1021
Nanjing,Sun Jianzhu,B,Successful Participant,1667
Beijing,Zheng Mu,B,Successful Participant,1018
Shenyang,Zhang Yunzhou,A,Honorable Mention,866
Shanghai,Deqiang Chen,A,Successful Participant,386
Beibei,Lei Deng,A,Successful Participant,294
Shenyang,Xiaojun Lu,A,Successful Participant,566
Saint Paul,Thomas Hoft,A,Honorable Mention,739
Chengdu,Jie Ma,A,Meritorious,485
Tangshan,Wang Hong,A,Successful Participant,268
Chongqing,Manman Li,D,Meritorious,231
Beijing,Yun Wang,D,Successful Participant,398
Nanjing,Jifeng Chu,D,Honorable Mention,520
Xinxiang,Chun-Feng Wang,B,Successful Participant,901
Xi'an,Wantao Ning,C,Honorable Mention,579
shanghai,Qifen Jiang,C,Successful Participant,515
Guangzhou,Zhengping Fan,A,Successful Participant,1283
Guangzhou,Mingzhi Mao,A,Honorable Mention,1315
Beijing,Puwei Wang,B,Successful Participant,571
Jiaozuo City,Yanfang Wang,D,Honorable Mention,1038
Wuhan,Chen Yongwei,A,Successful Participant,1209
Beijing,Wenbo ZHANG,A,Honorable Mention,1519
Hangzhou,Zi Yu,A,Honorable Mention,326
Maoming,Weixun Li,A,Successful Participant,1508
Zhuhai City,Yuling Li,A,Honorable Mention,770
Chengdu,Yong Yuan,A,Successful Participant,243
Guanghzou,YE Shiqi,D,Honorable Mention,586
Harbin,Hualing Deng,D,Honorable Mention,1260
Guangzhou,Hunan Li,C,Successful Participant,752
Shanghai,Xiaofeng Gao,A,Honorable Mention,1321
Xi'an,FEI XIE,C,Honorable Mention,1631
Wuhan,Zhibin Han,B,Honorable Mention,202
Dalian,Qiuhui Pan,D,Successful Participant,1291
Guangzhou,GuoCan Feng,A,Honorable Mention,1471
Nanjing,Zuo Xiang,D,Successful Participant,49
Galloway,Bradley T Forrest,A,Successful Participant,856
Qinhuangdao,Yin Zhang,A,Successful Participant,1431
Chongqing,Chuan He,B,Honorable Mention,1606
Shenyang,Yazhen Sun,A,Successful Participant,438
Hefei,Chun Zhou,A,Successful Participant,776
Shanghai,Yuan Cao,B,Meritorious,284
Beijing,Hongyi Li,A,Successful Participant,1322
Slippery Rock,Nicholas Hurl,A,Honorable Mention,1489
Beijing,Limei Wang,A,Honorable Mention,398
Xi'an,Yongfeng Xu,C,Honorable Mention,146
Beijing,Zhang li zhuo,C,Successful Participant,179
Beijing,Zhang Li,A,Successful Participant,1444
Xi'an,jicheng li,A,Successful Participant,598
Beijing,Tao Ren,B,Honorable Mention,3
Guangzhou,Junhao Peng,A,Honorable Mention,1044
Changsha,Xinge Liu,B,Successful Participant,1378
Jinan,Baodong LIU,D,Honorable Mention,1349
Guangzhou,Qinghui Zhang,A,Successful Participant,1315
ZhengZhou,Yanlin Cai,A,Honorable Mention,1019
Chongqing,Bin Xu,B,Honorable Mention,231
Qingdao,Yijun Zhao,A,Successful Participant,1244
Wuhan,Xueyi Zhang,D,Honorable Mention,457
Chengdu,Rong Zhou,B,Successful Participant,841
Xi'an,An Qinli,A,Honorable Mention,1621
Hangzhou,Qianqian Chen,A,Successful Participant,290
Dalian,Yiliao Song,D,Honorable Mention,636
Beijing,Yuan Song,A,Honorable Mention,1519
Chengdu,Hang Zhang,A,Successful Participant,486
Xiamen,Tundong Liu,A,Successful Participant,997
Zhengzhou,Qingan Cui,D,Meritorious,1492
Changsha,Xuanyun Qin,A,Honorable Mention,1378
Beijing,Honggang Zhang,D,Successful Participant,70
Tianjin,Bing Xiang,A,Successful Participant,169
Indianola,Murphy Waggoner,B,Successful Participant,1529
Suzhou,Jingming Guo,C,Successful Participant,1211
Zibo,Guidong Wang,A,Honorable Mention,352
Huzhou,Maoning Tang,A,Successful Participant,240
Wuhan,Yang Wu,A,Successful Participant,36
Shanghai,Min Tang,A,Successful Participant,400
Jiaozuo City,Shunwei Xu,A,Successful Participant,1038
beijing,Dong Xu,A,Honorable Mention,895
Chongqing,Hengjie Chen,B,Successful Participant,1005
San Luis Obispo,Charles D Camp,A,Honorable Mention,337
Shanghai,Youhua He,A,Honorable Mention,474
Baoding,Linhan Li,B,Successful Participant,1057
Beijing,Yilai Peng,B,Meritorious,1414
Qingdao,Yin Haiqing,D,Honorable Mention,32
Beijing,Yugu Xiao,B,Successful Participant,571
Harbin,Bin Zhou,A,Successful Participant,1021
Beijing,Haimiao Hu,A,Successful Participant,1566
shanghai,Qinghua Wang,B,Successful Participant,766
Yaan,Shiping Du,D,Honorable Mention,1119
Kunming,Guowu Yuan,C,Successful Participant,999
Zhengzhou,Pei Sun,A,Successful Participant,870
Beijing,jing zhu,B,Successful Participant,237
Bengbu,Zhang Kongsheng,D,Meritorious,590
Pittsburgh,Anna R Haensch,B,Successful Participant,584
Atlanta,lruthotto@emory.edu Ruthotto,A,Successful Participant,750
Dalian,Jiawu Yu,A,Successful Participant,600
Beijing,Wenyi Chai,D,Successful Participant,639
Hangzhou,Xusheng Kang,D,Successful Participant,1350
Nanjing,Jianlong Chen,A,Successful Participant,851
Tian Jin,Zhi Wang,A,Meritorious,1301
Luoyang,Xiaoyao JIA,D,Successful Participant,537
Xi'an,Wei Li,C,Honorable Mention,1095
Wuhan,Zhuangchu Luo,A,Successful Participant,36
Hefei,Lianzu Jiao,A,Successful Participant,776
Guilin,Jiangxia Nan,A,Successful Participant,1039
Wuhan,Wenhua Fang,D,Honorable Mention,1177
Taiyuan,Yang Ming,A,Honorable Mention,221
Beijing,Junhui Gao,A,Honorable Mention,1322
BEIJING,Huiping Zhang,B,Successful Participant,336
Guangzhou,Liling Xie,A,Successful Participant,103
Dezhou,Zhiguang Zhang,C,Honorable Mention,1148
Xi'an,Jing Hui Li,A,Honorable Mention,1270
Fuzhou,Shulong Lv,A,Successful Participant,1295
Beijing,Hui Xu,D,Successful Participant,913
Beijing,Mingming Wang,A,Honorable Mention,179
Bandung,Edy Soewono,A,Meritorious,891
Beijing,Yuanchang Shi,A,Honorable Mention,1406
Shenyang,Yang Jinzhu,A,Honorable Mention,152
Tianjin,huigang liu,A,Successful Participant,169
Shanghai,Zhaoping Hu,B,Successful Participant,704
shenyang,Li Zheng,A,Successful Participant,33
Jinan,Baodong LIU,D,Meritorious,366
Xuzhou,Wang Dongdong,A,Successful Participant,1409
Chongqing,Xiaoqian You,B,Successful Participant,362
Beijing,Wenbo ZHANG,A,Successful Participant,1519
HARBIN,CHU ZHUJIE,A,Successful Participant,1041
Beijing,Zhang Wenbo,B,Successful Participant,70
Shanghai,CHENGDONG DONG,A,Successful Participant,624
Xiâ€™an,Liantang Wang,A,Successful Participant,502
Changsha,Dan Wang,C,Honorable Mention,183
Tianjin,Dianfa Chen,B,Successful Participant,1391
Wuxi,Yongqing Yang,D,Meritorious,641
Tianjin,Xiongwen Quan,B,Successful Participant,169
Beijing,Yundong Gu,A,Successful Participant,1563
Tianjin,Wei Ma,B,Successful Participant,678
Changchun,Lv xianrui,B,Successful Participant,658
Hefei,Xianfa Jiao,A,Honorable Mention,1613
Xi'an,Yan Long,D,Honorable Mention,1621
Kunming,liucang wu,C,Successful Participant,1328
Harbin,Lianying Cao,D,Honorable Mention,286
Nanjing,Sun Jianzhu,D,Honorable Mention,1667
Changsha,Muzhou Hou,B,Honorable Mention,1378
Shanghai,Zhang Xiaobo,A,Successful Participant,1615
Baoding,HuiFeng SHI,B,Successful Participant,1307
Hangzhou,Linlin Fan,A,Meritorious,290
Nanjing,Qingshan Xu,A,Successful Participant,1539
Guangzhou,Bo Xie,B,Honorable Mention,580
Xiangtan,Jianmei Yuan,A,Honorable Mention,1264
NANTONG,Yujuan Chen,D,Honorable Mention,656
Zhengzhou,Qingan Cui,D,Honorable Mention,9
Beijing,CHEN FENGXIAN,A,Successful Participant,3
Beijing,Dan Hu,A,Honorable Mention,1622
Jinan,Peiguang Lin,A,Successful Participant,1589
Xi'an,Zhen Wang,C,Successful Participant,631
Changsha,Han Cao,B,Successful Participant,1378
Xiamen,Zhong Tan,B,Honorable Mention,1250
Lanzhou,ChengCheng Ma,A,Successful Participant,643
Nanjing,Qinglun Yan,B,Honorable Mention,807
Plantation,Radleigh G Santos,C,Meritorious,1360
Jinan,Xinhong Wang,B,Successful Participant,1570
Guangzhou,Yongkuan Cheng,D,Meritorious,580
Zhongshan,yaorong wang,A,Honorable Mention,139
Xiangtan,Hongliang Liu,A,Meritorious,1264
Hefei,Sheng Ye,A,Successful Participant,776
Xi'an,Fenjin Liu,D,Successful Participant,703
Beijing,Yongjiang Guo,D,Meritorious,83
Beijing,Juan Zhou,A,Successful Participant,398
Guangzhou,Jingheng Cai,D,Successful Participant,1315
Beijing,Jun Ye,D,Honorable Mention,951
Oxford,Douglas Eric Ward,A,Honorable Mention,516
Shanghai,Jianyu Pan,A,Honorable Mention,1111
Hangzhou,Yujie Yan,A,Meritorious,290
Madison,Saverio E Spagnolie,D,Meritorious,988
wuhan,Liuyi Zhong,A,Successful Participant,1659
Beijing,Xuelin Yong,D,Meritorious,964
Dalian,Guoyan Chen,A,Honorable Mention,609
Beijing,Weijie Feng,A,Successful Participant,1322
Guangzhou,Shenquan Liu,A,Honorable Mention,580
Beijing,Lizhuo Zhang,D,Honorable Mention,398
Shanghai,Xiongda Chen,A,Meritorious,681
Nanchang,Chen Chunfang,A,Meritorious,141
Zhengzhou,Yanling Cai,C,Honorable Mention,9
Tianjin,Yuqin Zhang,B,Honorable Mention,1053
Weihai,Xingqin Qi,B,Successful Participant,314
Arcata,Brad Finney,A,Successful Participant,701
Qingdao,Yin Haiqing,A,Successful Participant,32
Beijing,Enli Guo,A,Successful Participant,11
Hangzhou,Huizeng Zhang,A,Successful Participant,906
Dalian,Ma Yumei,B,Successful Participant,263
Guangzhou,Ping Huang,C,Successful Participant,580
Yaan,Shiping Du,A,Successful Participant,1119
Chongqing,Leina Zhao,A,Successful Participant,1592
Zhengzhou,Jianping Du,B,Finalist,870
Qingdao,Xiang Gao,D,Successful Participant,1507
Indianola,Murphy Waggoner,D,Honorable Mention,1529
Harbin,Jiebao Sun,A,Successful Participant,1021
Nanjing,Hua Zhang,B,Successful Participant,66
Bejing,Pan Zhi,B,Successful Participant,1619
Shenyang,Ding Zhai,A,Successful Participant,1571
Beijing,Aiwen Wang,C,Successful Participant,1346
Nanning,Mo Chi,B,Successful Participant,1240
Qingdao,Wang Jichao,D,Successful Participant,32
Ningbo,Lihui Tu,B,Successful Participant,184
Chengdu,Jiahui Mao,A,Honorable Mention,301
Qingdao,Weiguo Li,C,Meritorious,331
Beijing,Wendong Shi,B,Honorable Mention,571
Kunming,Jing Yuan,B,Honorable Mention,999
Chengdu,Shaowen Li,A,Successful Participant,1080
Tianjin,Gang Hu,C,Honorable Mention,169
Beijing,Zhenping Wu,D,Successful Participant,70
Roanoke,Steve T Hammer,A,Successful Participant,1261
Chengdu,Dai Dai,A,Honorable Mention,485
Xi'an,Li Fang,A,Successful Participant,146
Ruston,Shanaz Tiwari,B,Successful Participant,356
Beijing,Mei Lu,B,Honorable Mention,951
Beijing,Bing-Zhao Li,A,Successful Participant,894
WuHan,xin long Ren,B,Honorable Mention,1364
Bandung,Mochamad Apri,B,Honorable Mention,891
Taiyuan,Qing-Kui Li,B,Successful Participant,1059
HARBIN,SHU JUAN WANG,D,Successful Participant,1041
Anshan,Yu Ding,A,Successful Participant,1158
Xi'an,Wang Fenglan,B,Honorable Mention,1621
Corvallis,Nathan L Gibson,A,Successful Participant,1478
shenyang,Yonghui Wang,A,Successful Participant,708
Fuzhou,Yuzhong Chen,A,Honorable Mention,1295
Wenzhou,Xinze Lian,A,Honorable Mention,1558
Changsha,Muzhou Hou,B,Successful Participant,1378
Beijing,Lizhuo ZHANG,A,Honorable Mention,398
Kunming,Hao Wu,B,Successful Participant,827
Beijing,Xinhui Si,A,Meritorious,478
ChengDu,Qingbang Zhang,A,Successful Participant,1236
Nanjing,Rui Du,D,Successful Participant,1074
Qingdao,Fei Liu,A,Successful Participant,1244
Shanghai,Yumei Liang,A,Successful Participant,1550
Ann Arbor,Daniel B Forger,A,Successful Participant,124
Nanjing,Hongliang Zhu,A,Honorable Mention,939
Xiangtan,Jianmei Yuan,A,Successful Participant,1264
Xi'an,Wang Yali,A,Successful Participant,1621
WENJIANG,ZHONGXU CHEN,A,Successful Participant,1594
Haikou,Zhigang Wang,A,Successful Participant,616
Jinan,Jiqiang Wang,D,Honorable Mention,1589
Zhuhai City,Yongqi Liu,A,Successful Participant,770
Beijing,Yanhua Cao,A,Successful Participant,1563
Chongqing,Jianwen Xu,D,Meritorious,231
Shenyang,Lianping Yang,A,Meritorious,566
Liaocheng,Haitao Xu,A,Successful Participant,1602
Nanyang,Shaoxian Xu,A,Successful Participant,859
Wu Han,Aijiao Deng,B,Successful Participant,1668
Beijing,Jianhua Yuan,D,Successful Participant,83
Harbin,Dazhi Zhang,A,Meritorious,1021
xi 'an,wenli zheng,A,Successful Participant,1077
Beijing,Haibing Xie,A,Successful Participant,398
Guangzhou,Guanghui Chen,A,Honorable Mention,193
Wuhan,Hu Zhang,D,Successful Participant,457
Chengdu,Chuan Ding,C,Meritorious,138
Beijing,yuquan sun,A,Successful Participant,1566
Baoding,Guoli Zhang,A,Honorable Mention,1307
Hangzhou,Ding Zhengzhong,D,Honorable Mention,255
Chengdu,Siyi Qin,B,Honorable Mention,917
Jinhua,Xinzhong Lu,A,Meritorious,495
Wuhan,Liang Gao,C,Honorable Mention,202
Beijing,Jianxin Yin,B,Successful Participant,1190
Xi'an,Lei Chen,A,Meritorious,598
Mahwah,Amanda I Beecher,A,Unsuccessful,226
Chongqing,Guanghui He,B,Honorable Mention,231
Wenzhou,Jinsong Fan,B,Successful Participant,1558
Guangzhou,ZhanYong Zou,A,Successful Participant,193
Chongqing,Guanghui Huang,D,Honorable Mention,231
Nanjing,Rui Du,C,Meritorious,1074
Beijing,Liu Yulong,B,Successful Participant,1414
NanChang,Zhan Xiang,A,Successful Participant,1267
Hangzhou,Cheng Wang,A,Honorable Mention,326
Changchun,Yunhe Sheng,D,Successful Participant,658
Beijing,Zhi Pan,A,Honorable Mention,964
Beijing,Jianye Yan,A,Meritorious,398
Beijing,Zixiong Peng,C,Honorable Mention,306
Dalian,Guoyan Chen,A,Successful Participant,609
Beijing,Huijun Fan,B,Successful Participant,1414
Beijing,Dajun Xu,A,Successful Participant,1322
Wuhan,Liuyi Zhong,C,Honorable Mention,36
Harbin,Zhihui Wu,B,Meritorious,855
Beijing,Xiang Ma,A,Honorable Mention,1414
Hangzhou,Ping Lv,A,Successful Participant,906
Tianjin,Peichao Duan,B,Successful Participant,297
Shanghai,Qiaohua Liu,A,Successful Participant,474
Bei Jing,Li Cui,B,Meritorious,594
Anshan,Liangdong Guo,B,Meritorious,1158
Shenyang,Junjie Wang,B,Successful Participant,1334
Medford,James Adler,A,Honorable Mention,545
Beijing,Haibin Duan,A,Honorable Mention,81
Dalian,Linlin Tian,A,Honorable Mention,640
Huanggang,Zaiqiang Ku,A,Honorable Mention,458
Baoding,Peng Li,A,Successful Participant,1307
Beijing,Lizhuo Zhang,A,Successful Participant,398
beijing,haichao chen,A,Successful Participant,1300
Wuhan,Feng Jiang,A,Honorable Mention,457
Beijing,Fan Xiaoming,D,Meritorious,1170
Guangzhou,Tianshou Zhou,A,Honorable Mention,1283
